# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
|  26|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             2|         1.00|
|  27|      38|      0|    0.57|  0.48|                12|             21|             25|               5|     38|            35|         0.92|
|  28|       1|      0|    0.50|  0.50|                 1|              2|              2|               0|      1|             1|         1.00|
|  29|      17|      0|    0.91|  0.91|                10|             11|             11|               0|     17|            17|         1.00|
|  30|       7|      0|    1.00|  0.80|                 4|              4|              5|               0|      7|             6|         0.86|
|  31|       7|      0|    0.80|  1.00|                 4|              5|              4|               0|      7|             7|         1.00|
|  32|       5|      0|    0.80|  0.80|                 4|              5|              5|               0|      5|             5|         1.00|
|  33|       5|      0|    1.00|  1.00|                 4|              4|              4|               0|      5|             4|         0.80|
|  34|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
|  35|       6|      0|    0.14|  0.17|                 1|              7|              6|               4|      6|             5|         0.83|
|  36|      32|      0|    0.21|  0.22|                 6|             28|             27|              13|     32|            28|         0.88|
|  37|      37|      0|    0.44|  0.50|                12|             27|             24|               9|     37|            35|         0.95|
|  38|      14|      0|    0.43|  0.33|                 3|              7|              9|               3|     14|            13|         0.93|
|  39|      26|      0|    1.00|  1.00|                18|             18|             18|               0|     26|            26|         1.00|
|  40|       6|      0|    0.17|  0.20|                 1|              6|              5|               2|      6|             5|         0.83|
|  41|      90|      0|    0.54|  0.56|                33|             61|             59|              15|     90|            88|         0.98|
|  42|      35|      0|    0.11|  0.14|                 3|             28|             21|               9|     35|            32|         0.91|
|  43|      27|      0|    0.33|  0.36|                 5|             15|             14|               5|     27|            26|         0.96|
|  44|      49|      0|    0.42|  0.46|                13|             31|             28|               9|     49|            46|         0.94|
|  45|      30|      0|    0.55|  0.52|                11|             20|             21|               5|     30|            28|         0.93|
|  46|       1|      0|    0.50|  0.50|                 1|              2|              2|               0|      1|             1|         1.00|
|  47|      16|      0|    0.70|  0.70|                 7|             10|             10|               1|     16|            15|         0.94|
|  48|      14|      0|    0.22|  0.20|                 2|              9|             10|               4|     14|            12|         0.86|
|  49|      14|      0|    0.89|  0.89|                 8|              9|              9|               0|     14|            14|         1.00|
|  50|      20|      0|    0.64|  0.58|                 7|             11|             12|               1|     20|            19|         0.95|
|  51|      20|      0|    0.46|  0.50|                 6|             13|             12|               4|     20|            20|         1.00|
|  52|      14|      0|    0.67|  0.67|                 6|              9|              9|               1|     14|            14|         1.00|
|  53|      23|      0|    0.57|  0.50|                 8|             14|             16|               4|     23|            20|         0.87|
|  54|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
|  55|       5|      0|    0.75|  1.00|                 3|              4|              3|               0|      5|             5|         1.00|
|  56|      27|      0|    0.35|  0.35|                 7|             20|             20|               7|     27|            26|         0.96|
|  57|      52|      0|    0.48|  0.51|                21|             44|             41|              13|     52|            48|         0.92|
|  58|      28|      0|    0.45|  0.45|                 9|             20|             20|              10|     28|            25|         0.89|
|  59|      21|      0|    0.53|  0.50|                 8|             15|             16|               4|     21|            20|         0.95|
|  60|      23|      0|    0.57|  0.53|                 8|             14|             15|               4|     23|            21|         0.91|
|  61|      61|      0|    0.37|  0.40|                16|             43|             40|              17|     61|            59|         0.97|
|  62|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
|  63|      12|      0|    0.71|  0.71|                 5|              7|              7|               1|     12|            11|         0.92|
|  64|      43|      0|    0.42|  0.37|                10|             24|             27|              11|     43|            41|         0.95|
|  65|      18|      0|    0.54|  0.54|                 7|             13|             13|               4|     18|            18|         1.00|
|  66|      16|      0|    0.44|  0.44|                 4|              9|              9|               3|     16|            14|         0.88|
|  67|      24|      0|    0.50|  0.46|                 6|             12|             13|               3|     24|            24|         1.00|
|  68|      31|      0|    0.71|  0.71|                15|             21|             21|               2|     31|            29|         0.94|
|  69|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             2|         0.67|
|  70|      14|      0|    0.80|  0.80|                 8|             10|             10|               1|     14|            14|         1.00|
|  71|      14|      0|    0.50|  0.38|                 3|              6|              8|               1|     14|            14|         1.00|
|  72|      13|      0|    0.56|  0.50|                 5|              9|             10|               2|     13|            12|         0.92|
|  73|      19|      0|    1.00|  1.00|                13|             13|             13|               0|     19|            19|         1.00|
|  74|      15|      0|    0.50|  0.46|                 6|             12|             13|               4|     15|            14|         0.93|
|  75|      20|      0|    0.44|  0.44|                 7|             16|             16|               3|     20|            18|         0.90|
|  76|      30|      0|    0.71|  0.71|                15|             21|             21|               3|     30|            29|         0.97|
|  77|      45|      0|    0.53|  0.47|                17|             32|             36|              13|     45|            43|         0.96|
|  78|      14|      0|    0.57|  0.36|                 4|              7|             11|               4|     14|            13|         0.93|
|  79|      31|      0|    0.36|  0.36|                 8|             22|             22|               9|     31|            29|         0.94|
|  80|      31|      0|    0.43|  0.41|                 9|             21|             22|               6|     31|            27|         0.87|
|  81|      15|      0|    1.00|  0.88|                 7|              7|              8|               0|     15|            14|         0.93|
|  82|      37|      0|    0.62|  0.64|                16|             26|             25|               5|     37|            34|         0.92|
|  83|      30|      0|    0.65|  0.68|                13|             20|             19|               3|     30|            29|         0.97|
|  84|      24|      0|    0.80|  0.86|                12|             15|             14|               1|     24|            22|         0.92|
|  85|      10|      0|    1.00|  0.83|                 5|              5|              6|               0|     10|            10|         1.00|
|  86|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
|  87|      13|      0|    0.67|  0.60|                 6|              9|             10|               2|     13|            10|         0.77|
|  88|      45|      0|    0.25|  0.21|                 7|             28|             33|              15|     45|            41|         0.91|
|  89|      23|      0|    0.53|  0.47|                 8|             15|             17|               3|     23|            22|         0.96|
|  90|      34|      0|    0.55|  0.52|                12|             22|             23|               7|     34|            34|         1.00|
|  91|      24|      0|    0.42|  0.44|                 8|             19|             18|               5|     24|            24|         1.00|
|  92|       1|      0|    0.50|  0.50|                 1|              2|              2|               0|      1|             1|         1.00|
|  93|      11|      0|    0.38|  0.33|                 3|              8|              9|               3|     11|            10|         0.91|
|  94|       5|      0|    0.50|  0.33|                 2|              4|              6|               1|      5|             4|         0.80|
|  95|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             2|         0.67|
|  96|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
|  97|       7|      0|    0.80|  1.00|                 4|              5|              4|               0|      7|             7|         1.00|
|  98|       7|      0|    0.86|  0.86|                 6|              7|              7|               0|      7|             6|         0.86|
|  99|       4|      0|    0.60|  0.75|                 3|              5|              4|               0|      4|             4|         1.00|
| 100|       6|      0|    0.71|  0.83|                 5|              7|              6|               0|      6|             5|         0.83|
| 101|      42|      0|    0.32|  0.31|                10|             31|             32|              15|     42|            37|         0.88|
| 102|      15|      0|    0.90|  0.82|                 9|             10|             11|               0|     15|            14|         0.93|
| 103|       5|      0|    0.60|  0.75|                 3|              5|              4|               0|      5|             4|         0.80|
| 104|      44|      0|    0.41|  0.41|                13|             32|             32|              14|     44|            44|         1.00|
| 105|      20|      0|    0.43|  0.40|                 6|             14|             15|               4|     20|            20|         1.00|
| 106|      33|      0|    0.76|  0.67|                16|             21|             24|               2|     33|            31|         0.94|
| 107|      11|      0|    0.44|  0.44|                 4|              9|              9|               3|     11|            10|         0.91|
| 108|      23|      0|    0.57|  0.47|                 8|             14|             17|               6|     23|            21|         0.91|
| 109|      18|      0|    0.71|  0.67|                10|             14|             15|               3|     18|            17|         0.94|
| 110|      34|      0|    0.50|  0.57|                12|             24|             21|               6|     34|            31|         0.91|
| 111|      43|      0|    0.31|  0.33|                10|             32|             30|              16|     43|            42|         0.98|
| 112|      25|      0|    0.31|  0.31|                 5|             16|             16|               5|     25|            19|         0.76|
| 113|      41|      0|    0.50|  0.50|                15|             30|             30|              11|     41|            41|         1.00|
| 114|      11|      0|    0.80|  0.57|                 4|              5|              7|               1|     11|            11|         1.00|
| 115|      33|      0|    0.38|  0.39|                 9|             24|             23|               8|     33|            25|         0.76|
| 116|      35|      0|    0.29|  0.26|                 6|             21|             23|               9|     35|            32|         0.91|
| 117|      35|      0|    0.41|  0.36|                 9|             22|             25|              10|     35|            31|         0.89|
| 118|       6|      0|    0.80|  0.67|                 4|              5|              6|               0|      6|             6|         1.00|
| 119|      10|      0|    0.29|  0.25|                 2|              7|              8|               2|     10|             9|         0.90|
| 120|      34|      0|    0.46|  0.46|                11|             24|             24|               7|     34|            32|         0.94|
| 121|      37|      0|    0.28|  0.24|                 7|             25|             29|              13|     37|            34|         0.92|
| 122|      19|      0|    0.40|  0.32|                 6|             15|             19|               9|     19|            17|         0.89|
| 123|      57|      0|    0.31|  0.30|                14|             45|             46|              19|     57|            49|         0.86|
| 124|      22|      0|    1.00|  0.91|                10|             10|             11|               0|     22|            21|         0.95|
| 125|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             1|         0.50|
| 126|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
| 127|      19|      0|    0.33|  0.30|                 3|              9|             10|               4|     19|            14|         0.74|
| 128|      16|      0|    0.42|  0.36|                 5|             12|             14|               7|     16|            13|         0.81|
| 129|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             2|         1.00|
| 130|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
| 131|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             2|         1.00|
| 132|      11|      0|    0.43|  0.33|                 3|              7|              9|               1|     11|             9|         0.82|
| 133|       7|      0|    0.75|  0.60|                 3|              4|              5|               0|      7|             7|         1.00|
| 134|       5|      0|    0.67|  0.67|                 2|              3|              3|               0|      5|             5|         1.00|
| 135|       4|      0|    1.00|  1.00|                 4|              4|              4|               0|      4|             4|         1.00|
| 136|       4|      0|    1.00|  1.00|                 4|              4|              4|               0|      4|             4|         1.00|
| 137|       4|      0|    0.75|  1.00|                 3|              4|              3|               0|      4|             4|         1.00|
| 138|       5|      0|    0.83|  1.00|                 5|              6|              5|               0|      5|             5|         1.00|
| 139|      59|      0|    0.56|  0.49|                20|             36|             41|              11|     59|            58|         0.98|
| 140|      50|      0|    0.27|  0.26|                 9|             33|             34|              15|     50|            49|         0.98|
| 141|      44|      0|    0.39|  0.36|                 9|             23|             25|              10|     44|            42|         0.95|
| 142|      34|      0|    0.30|  0.30|                 8|             27|             27|              14|     34|            34|         1.00|
| 143|      31|      0|    0.30|  0.29|                 7|             23|             24|              13|     31|            30|         0.97|
| 144|      28|      0|    0.41|  0.41|                 9|             22|             22|               6|     28|            25|         0.89|
| 145|      12|      0|    0.12|  0.14|                 1|              8|              7|               3|     12|            10|         0.83|
| 146|      41|      0|    0.57|  0.50|                13|             23|             26|               6|     41|            38|         0.93|
| 147|      18|      0|    0.33|  0.23|                 3|              9|             13|               5|     18|            16|         0.89|
| 148|       1|      0|    0.50|  0.50|                 1|              2|              2|               0|      1|             1|         1.00|
| 149|      72|      0|    0.43|  0.43|                19|             44|             44|              17|     72|            66|         0.92|
| 150|      22|      0|    0.46|  0.43|                 6|             13|             14|               5|     22|            19|         0.86|
| 151|      24|      0|    0.33|  0.32|                 6|             18|             19|               9|     24|            22|         0.92|
| 152|      10|      0|    0.57|  0.44|                 4|              7|              9|               1|     10|             9|         0.90|
| 153|      51|      0|    0.23|  0.22|                 7|             30|             32|              18|     51|            47|         0.92|
| 154|      43|      0|    0.43|  0.39|                12|             28|             31|              11|     43|            39|         0.91|
| 155|      30|      0|    0.39|  0.35|                 7|             18|             20|               9|     30|            25|         0.83|
| 156|      17|      0|    0.27|  0.25|                 3|             11|             12|               4|     17|            14|         0.82|
| 157|      37|      0|    0.52|  0.48|                12|             23|             25|               9|     37|            36|         0.97|
| 158|      40|      0|    0.60|  0.58|                15|             25|             26|               7|     40|            39|         0.97|
| 159|      35|      0|    0.26|  0.23|                 6|             23|             26|              13|     35|            30|         0.86|
| 160|      14|      0|    0.57|  0.50|                 4|              7|              8|               2|     14|            14|         1.00|
| 161|      34|      0|    0.71|  0.68|                17|             24|             25|               3|     34|            32|         0.94|
| 162|      62|      0|    0.33|  0.29|                14|             43|             49|              24|     62|            55|         0.89|
| 163|      25|      0|    0.47|  0.39|                 7|             15|             18|               4|     25|            22|         0.88|
| 164|      48|      0|    0.44|  0.44|                15|             34|             34|              13|     48|            46|         0.96|
| 165|      22|      0|    0.46|  0.38|                 6|             13|             16|               4|     22|            22|         1.00|
| 166|      10|      0|    0.50|  0.44|                 4|              8|              9|               3|     10|            10|         1.00|
| 167|       8|      0|    0.67|  0.57|                 4|              6|              7|               1|      8|             7|         0.88|
| 168|      28|      0|    0.26|  0.23|                 6|             23|             26|              12|     28|            25|         0.89|
| 169|      20|      0|    0.42|  0.31|                 5|             12|             16|               4|     20|            17|         0.85|
| 170|      46|      0|    0.42|  0.37|                13|             31|             35|              17|     46|            44|         0.96|
| 171|       1|      0|    0.50|  0.50|                 1|              2|              2|               0|      1|             1|         1.00|
| 172|      19|      0|    0.69|  0.69|                 9|             13|             13|               2|     19|            19|         1.00|
| 173|       6|      0|    0.80|  1.00|                 4|              5|              4|               0|      6|             6|         1.00|
| 174|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
| 175|      43|      0|    0.31|  0.30|                10|             32|             33|              15|     43|            39|         0.91|
| 176|       4|      0|    0.75|  1.00|                 3|              4|              3|               0|      4|             4|         1.00|
| 177|      34|      0|    0.48|  0.55|                11|             23|             20|               6|     34|            34|         1.00|
| 178|      17|      0|    0.89|  0.80|                 8|              9|             10|               0|     17|            17|         1.00|
| 179|      23|      0|    0.59|  0.56|                10|             17|             18|               3|     23|            22|         0.96|
| 180|      17|      0|    1.00|  1.00|                11|             11|             11|               0|     17|            17|         1.00|
| 181|      17|      0|    0.36|  0.38|                 5|             14|             13|               4|     17|            16|         0.94|
| 182|      41|      0|    0.34|  0.31|                10|             29|             32|              14|     41|            36|         0.88|
| 183|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
| 184|       8|      0|    1.00|  1.00|                 5|              5|              5|               0|      8|             7|         0.88|
| 185|      28|      0|    0.38|  0.40|                 8|             21|             20|               7|     28|            27|         0.96|
| 186|      17|      0|    0.67|  0.73|                 8|             12|             11|               2|     17|            14|         0.82|
| 187|      14|      0|    0.60|  0.67|                 6|             10|              9|               2|     14|            13|         0.93|
| 188|       9|      0|    0.80|  0.80|                 4|              5|              5|               0|      9|             8|         0.89|
| 189|       9|      0|    0.83|  0.83|                 5|              6|              6|               0|      9|             8|         0.89|
| 190|       9|      0|    0.67|  0.57|                 4|              6|              7|               1|      9|             9|         1.00|
| 191|       8|      0|    0.67|  0.50|                 4|              6|              8|               1|      8|             8|         1.00|
| 192|      53|      0|    0.47|  0.42|                17|             36|             40|              15|     53|            49|         0.92|
| 193|      35|      0|    0.16|  0.15|                 3|             19|             20|              10|     35|            34|         0.97|
| 194|       9|      0|    0.80|  0.67|                 4|              5|              6|               0|      9|             8|         0.89|
| 195|       8|      0|    0.67|  0.67|                 4|              6|              6|               0|      8|             8|         1.00|
| 196|       5|      0|    0.67|  0.67|                 2|              3|              3|               0|      5|             4|         0.80|
| 197|       5|      0|    0.67|  0.67|                 2|              3|              3|               0|      5|             5|         1.00|
| 198|       5|      0|    1.00|  1.00|                 4|              4|              4|               0|      5|             5|         1.00|
| 199|       1|      0|    0.50|  1.00|                 1|              2|              1|               0|      1|             1|         1.00|
| 200|       6|      0|    0.17|  0.25|                 1|              6|              4|               2|      6|             6|         1.00|
| 201|      47|      0|    0.36|  0.34|                12|             33|             35|              15|     47|            44|         0.94|
| 202|      20|      0|    0.20|  0.17|                 2|             10|             12|               4|     20|            17|         0.85|
| 203|      20|      0|    0.50|  0.50|                 8|             16|             16|               4|     20|            18|         0.90|
| 204|       3|      0|    0.33|  0.50|                 1|              3|              2|               0|      3|             2|         0.67|
| 205|      31|      0|    0.40|  0.36|                 8|             20|             22|               7|     31|            29|         0.94|
| 206|      53|      0|    0.42|  0.38|                15|             36|             40|              18|     53|            44|         0.83|
| 207|       9|      0|    1.00|  1.00|                 5|              5|              5|               0|      9|             9|         1.00|
| 208|      44|      0|    0.38|  0.37|                10|             26|             27|              14|     44|            39|         0.89|
| 209|      15|      0|    0.45|  0.42|                 5|             11|             12|               3|     15|            15|         1.00|
| 210|      25|      0|    0.78|  0.82|                14|             18|             17|               1|     25|            23|         0.92|
| 211|      27|      0|    0.47|  0.47|                 8|             17|             17|               6|     27|            25|         0.93|
| 212|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
| 213|      48|      0|    0.36|  0.30|                 9|             25|             30|              10|     48|            40|         0.83|
| 214|      55|      0|    0.38|  0.38|                15|             39|             39|              19|     55|            53|         0.96|
| 215|      22|      0|    0.69|  0.60|                 9|             13|             15|               2|     22|            20|         0.91|
| 216|       2|      0|    1.00|  1.00|                 2|              2|              2|               0|      2|             1|         0.50|
| 217|       8|      0|    0.33|  0.17|                 1|              3|              6|               3|      8|             6|         0.75|
| 218|       1|      0|    0.50|  0.50|                 1|              2|              2|               0|      1|             1|         1.00|
| 219|       8|      0|    0.25|  0.17|                 1|              4|              6|               0|      8|             5|         0.62|
| 220|       5|      0|    1.00|  0.50|                 2|              2|              4|               0|      5|             3|         0.60|
| 221|      10|      0|    1.00|  0.43|                 3|              3|              7|               0|     10|             8|         0.80|
| 222|       3|      0|    1.00|  0.67|                 2|              2|              3|               0|      3|             3|         1.00|
| 223|       8|      0|    0.33|  0.17|                 1|              3|              6|               2|      8|             2|         0.25|
| 224|       4|      0|    1.00|  1.00|                 2|              2|              2|               0|      4|             2|         0.50|
| 225|      10|      0|    0.50|  0.12|                 1|              2|              8|               0|     10|             6|         0.60|
| 226|       2|      0|    0.50|  1.00|                 1|              2|              1|               0|      2|             1|         0.50|
| 227|      13|      0|    0.33|  0.10|                 1|              3|             10|               1|     13|             8|         0.62|
| 228|      19|      0|    0.20|  0.08|                 1|              5|             13|               1|     19|            12|         0.63|
| 229|      19|      0|    0.40|  0.13|                 2|              5|             15|               3|     19|            14|         0.74|
| 230|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             2|         1.00|
| 231|      29|      0|    0.43|  0.33|                 6|             14|             18|               5|     29|            24|         0.83|
| 232|      29|      0|    0.67|  0.53|                10|             15|             19|               2|     29|            26|         0.90|
| 233|      16|      0|    0.44|  0.36|                 4|              9|             11|               4|     16|            12|         0.75|
| 234|      16|      0|    0.50|  0.20|                 2|              4|             10|               2|     16|            12|         0.75|
| 235|      23|      0|    0.62|  0.59|                10|             16|             17|               4|     23|            21|         0.91|
| 236|      22|      0|    0.25|  0.13|                 2|              8|             15|               6|     22|            17|         0.77|
| 237|      22|      0|    0.40|  0.22|                 4|             10|             18|               6|     22|            17|         0.77|
| 238|       9|      0|    0.50|  0.43|                 3|              6|              7|               2|      9|             8|         0.89|
| 239|       4|      0|    0.75|  1.00|                 3|              4|              3|               0|      4|             4|         1.00|
| 240|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
| 241|      32|      0|    0.62|  0.67|                16|             26|             24|               4|     32|            32|         1.00|
| 242|      49|      0|    0.53|  0.51|                18|             34|             35|              10|     49|            46|         0.94|
| 243|       5|      0|    0.33|  0.50|                 1|              3|              2|               0|      5|             4|         0.80|
| 244|      26|      0|    0.40|  0.40|                 8|             20|             20|               7|     26|            24|         0.92|
| 245|      38|      0|    0.61|  0.50|                14|             23|             28|               7|     38|            34|         0.89|
| 246|      30|      0|    0.60|  0.52|                12|             20|             23|               6|     30|            29|         0.97|
| 247|      35|      0|    0.44|  0.47|                 8|             18|             17|               6|     35|            32|         0.91|
| 248|      28|      0|    0.45|  0.50|                10|             22|             20|               4|     28|            27|         0.96|
| 249|      43|      0|    0.45|  0.45|                13|             29|             29|               8|     43|            43|         1.00|
| 250|      41|      0|    0.21|  0.17|                 4|             19|             24|              12|     41|            35|         0.85|
| 251|      21|      0|    0.53|  0.50|                 8|             15|             16|               4|     21|            21|         1.00|
| 252|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             2|         0.67|
| 253|      67|      0|    0.59|  0.57|                26|             44|             46|              10|     67|            65|         0.97|
| 254|       9|      0|    0.67|  0.50|                 4|              6|              8|               2|      9|             9|         1.00|
| 255|      59|      0|    0.44|  0.44|                19|             43|             43|              14|     59|            53|         0.90|
| 256|      26|      0|    0.47|  0.43|                 9|             19|             21|               8|     26|            25|         0.96|
| 257|      17|      0|    0.77|  0.77|                10|             13|             13|               2|     17|            17|         1.00|
| 258|      26|      0|    0.59|  0.62|                10|             17|             16|               2|     26|            25|         0.96|
| 259|      10|      0|    1.00|  1.00|                 5|              5|              5|               0|     10|            10|         1.00|
| 260|      18|      0|    0.67|  0.57|                 8|             12|             14|               2|     18|            15|         0.83|
| 261|      20|      0|    0.93|  0.93|                14|             15|             15|               0|     20|            20|         1.00|
| 262|       1|      0|    0.50|  0.50|                 1|              2|              2|               0|      1|             1|         1.00|
| 263|      30|      0|    0.48|  0.43|                10|             21|             23|               8|     30|            28|         0.93|
| 264|      33|      0|    0.79|  0.65|                15|             19|             23|               2|     33|            29|         0.88|
| 265|      23|      0|    0.77|  0.71|                10|             13|             14|               2|     23|            21|         0.91|
| 266|      27|      0|    0.58|  0.55|                11|             19|             20|               5|     27|            27|         1.00|
| 267|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             2|         1.00|
| 268|      27|      0|    0.67|  0.62|                 8|             12|             13|               2|     27|            26|         0.96|
| 269|      19|      0|    0.90|  0.75|                 9|             10|             12|               0|     19|            18|         0.95|
| 270|      20|      0|    0.44|  0.40|                 4|              9|             10|               2|     20|            19|         0.95|
| 271|      13|      0|    0.86|  0.86|                 6|              7|              7|               0|     13|            12|         0.92|
| 272|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             2|         1.00|
| 273|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             2|         0.67|
| 274|       4|      0|    0.75|  0.75|                 3|              4|              4|               0|      4|             4|         1.00|
| 275|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             2|         1.00|
| 276|       4|      0|    0.75|  0.75|                 3|              4|              4|               0|      4|             4|         1.00|
| 277|       5|      0|    1.00|  1.00|                 4|              4|              4|               0|      5|             4|         0.80|
| 278|      10|      0|    0.80|  0.80|                 4|              5|              5|               0|     10|            10|         1.00|
| 279|       6|      0|    0.80|  1.00|                 4|              5|              4|               0|      6|             6|         1.00|
| 280|       3|      0|    1.00|  1.00|                 3|              3|              3|               0|      3|             3|         1.00|
| 281|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
| 282|       3|      0|    0.67|  1.00|                 2|              3|              2|               0|      3|             3|         1.00|

=================================================================================================================================================
Number of sentence:	283.00
Number of Error sentence:	0.00
Number of Skip  sentence:	0.00
Number of Valid sentence:	283.00
Bracketing Recall:	49.26
Bracketing Precision:	46.78
Bracketing FMeasure:	47.99
Complete match:	6.71
Average crossing:	4.36
No crossing:	32.86
Tagging accuracy:	92.32
