# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
|  26|      45|      0|    0.41|  0.32|                 9|             22|             28|               9|     45|            42|         0.93|
|  27|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             2|         1.00|
|  28|      38|      0|    0.57|  0.48|                12|             21|             25|               5|     38|            35|         0.92|
|  29|       1|      0|    0.50|  0.50|                 1|              2|              2|               0|      1|             1|         1.00|
|  30|      17|      0|    0.91|  0.91|                10|             11|             11|               0|     17|            17|         1.00|
|  31|       7|      0|    1.00|  0.80|                 4|              4|              5|               0|      7|             6|         0.86|
|  32|       7|      0|    0.80|  1.00|                 4|              5|              4|               0|      7|             7|         1.00|
|  33|       5|      0|    0.80|  0.80|                 4|              5|              5|               0|      5|             5|         1.00|
|  34|       5|      0|    1.00|  1.00|                 4|              4|              4|               0|      5|             4|         0.80|
|  35|       2|      0|    0.50|  1.00|                 1|              2|              1|               0|      2|             0|         0.00|
|  36|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
|  37|       6|      0|    0.14|  0.17|                 1|              7|              6|               4|      6|             5|         0.83|
|  38|      32|      0|    0.21|  0.22|                 6|             28|             27|              13|     32|            28|         0.88|
|  39|      37|      0|    0.44|  0.50|                12|             27|             24|               9|     37|            35|         0.95|
|  40|      14|      0|    0.43|  0.33|                 3|              7|              9|               3|     14|            13|         0.93|
|  41|      26|      0|    1.00|  1.00|                18|             18|             18|               0|     26|            26|         1.00|
|  42|       6|      0|    0.17|  0.20|                 1|              6|              5|               2|      6|             5|         0.83|
|  43|      90|      0|    0.54|  0.56|                33|             61|             59|              15|     90|            88|         0.98|
|  44|      35|      0|    0.11|  0.14|                 3|             28|             21|               9|     35|            32|         0.91|
|  45|      27|      0|    0.33|  0.36|                 5|             15|             14|               5|     27|            26|         0.96|
|  46|      49|      0|    0.42|  0.46|                13|             31|             28|               9|     49|            46|         0.94|
|  47|      30|      0|    0.55|  0.52|                11|             20|             21|               5|     30|            28|         0.93|
|  48|       1|      0|    0.50|  1.00|                 1|              2|              1|               0|      1|             1|         1.00|
|  49|      16|      0|    0.70|  0.70|                 7|             10|             10|               1|     16|            15|         0.94|
|  50|      14|      0|    0.22|  0.20|                 2|              9|             10|               4|     14|            12|         0.86|
|  51|      14|      0|    0.89|  0.89|                 8|              9|              9|               0|     14|            14|         1.00|
|  52|      20|      0|    0.64|  0.58|                 7|             11|             12|               1|     20|            19|         0.95|
|  53|      20|      0|    0.38|  0.42|                 5|             13|             12|               4|     20|            20|         1.00|
|  54|      14|      0|    0.67|  0.67|                 6|              9|              9|               1|     14|            14|         1.00|
|  55|      23|      0|    0.57|  0.50|                 8|             14|             16|               4|     23|            20|         0.87|
|  56|       3|      0|    0.50|  0.50|                 1|              2|              2|               0|      3|             0|         0.00|
|  57|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
|  58|       5|      0|    0.75|  1.00|                 3|              4|              3|               0|      5|             5|         1.00|
|  59|      27|      0|    0.35|  0.35|                 7|             20|             20|               7|     27|            26|         0.96|
|  60|      52|      0|    0.48|  0.51|                21|             44|             41|              13|     52|            48|         0.92|
|  61|      28|      0|    0.45|  0.45|                 9|             20|             20|              10|     28|            25|         0.89|
|  62|      21|      0|    0.40|  0.38|                 6|             15|             16|               6|     21|            20|         0.95|
|  63|      23|      0|    0.57|  0.53|                 8|             14|             15|               4|     23|            21|         0.91|
|  64|      61|      0|    0.37|  0.40|                16|             43|             40|              17|     61|            59|         0.97|
|  65|      48|      0|    0.03|  0.02|                 1|             33|             47|              40|     48|             7|         0.15|
|  66|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
|  67|      12|      0|    0.71|  0.71|                 5|              7|              7|               1|     12|            11|         0.92|
|  68|      43|      0|    0.42|  0.37|                10|             24|             27|              11|     43|            41|         0.95|
|  69|      18|      0|    0.54|  0.54|                 7|             13|             13|               4|     18|            18|         1.00|
|  70|      16|      0|    0.44|  0.44|                 4|              9|              9|               3|     16|            14|         0.88|
|  71|      24|      0|    0.50|  0.46|                 6|             12|             13|               3|     24|            24|         1.00|
|  72|      31|      0|    0.71|  0.71|                15|             21|             21|               2|     31|            29|         0.94|
|  73|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             2|         0.67|
|  74|      14|      0|    0.80|  0.80|                 8|             10|             10|               1|     14|            14|         1.00|
|  75|      14|      0|    0.50|  0.38|                 3|              6|              8|               1|     14|            14|         1.00|
|  76|      13|      0|    0.56|  0.50|                 5|              9|             10|               2|     13|            12|         0.92|
|  77|      19|      0|    1.00|  1.00|                13|             13|             13|               0|     19|            19|         1.00|
|  78|      15|      0|    0.50|  0.46|                 6|             12|             13|               4|     15|            14|         0.93|
|  79|      20|      0|    0.69|  0.69|                11|             16|             16|               3|     20|            19|         0.95|
|  80|      30|      0|    0.71|  0.71|                15|             21|             21|               3|     30|            29|         0.97|
|  81|      45|      0|    0.53|  0.47|                17|             32|             36|              13|     45|            43|         0.96|
|  82|      14|      0|    0.57|  0.36|                 4|              7|             11|               4|     14|            13|         0.93|
|  83|      31|      0|    0.36|  0.36|                 8|             22|             22|               9|     31|            29|         0.94|
|  84|      31|      0|    0.43|  0.41|                 9|             21|             22|               6|     31|            27|         0.87|
|  85|      15|      0|    1.00|  0.88|                 7|              7|              8|               0|     15|            14|         0.93|
|  86|      37|      0|    0.62|  0.64|                16|             26|             25|               5|     37|            34|         0.92|
|  87|      30|      0|    0.65|  0.68|                13|             20|             19|               3|     30|            29|         0.97|
|  88|      24|      0|    0.80|  0.86|                12|             15|             14|               1|     24|            22|         0.92|
|  89|      10|      0|    1.00|  0.83|                 5|              5|              6|               0|     10|            10|         1.00|
|  90|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
|  91|      13|      0|    0.67|  0.60|                 6|              9|             10|               2|     13|            10|         0.77|
|  92|      45|      0|    0.25|  0.21|                 7|             28|             33|              15|     45|            41|         0.91|
|  93|      23|      0|    0.53|  0.47|                 8|             15|             17|               3|     23|            22|         0.96|
|  94|      34|      0|    0.55|  0.52|                12|             22|             23|               7|     34|            34|         1.00|
|  95|      24|      0|    0.42|  0.44|                 8|             19|             18|               5|     24|            24|         1.00|
|  96|       1|      0|    0.50|  0.50|                 1|              2|              2|               0|      1|             1|         1.00|
|  97|      11|      0|    0.38|  0.33|                 3|              8|              9|               3|     11|            10|         0.91|
|  98|       5|      0|    0.50|  0.33|                 2|              4|              6|               1|      5|             4|         0.80|
|  99|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             0|         0.00|
| 100|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             2|         0.67|
| 101|       3|      0|    0.50|  0.50|                 1|              2|              2|               0|      3|             0|         0.00|
| 102|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
| 103|       7|      0|    0.80|  1.00|                 4|              5|              4|               0|      7|             7|         1.00|
| 104|       7|      0|    0.86|  0.86|                 6|              7|              7|               0|      7|             6|         0.86|
| 105|       4|      0|    0.60|  0.75|                 3|              5|              4|               0|      4|             4|         1.00|
| 106|       6|      0|    0.71|  0.83|                 5|              7|              6|               0|      6|             5|         0.83|
| 107|      42|      0|    0.32|  0.31|                10|             31|             32|              15|     42|            37|         0.88|
| 108|      15|      0|    0.90|  0.82|                 9|             10|             11|               0|     15|            14|         0.93|
| 109|       5|      0|    0.60|  0.75|                 3|              5|              4|               0|      5|             4|         0.80|
| 110|      39|      0|    0.04|  0.03|                 1|             23|             38|              33|     39|             5|         0.13|
| 111|      44|      0|    0.34|  0.34|                11|             32|             32|              16|     44|            44|         1.00|
| 112|      20|      0|    0.43|  0.40|                 6|             14|             15|               4|     20|            20|         1.00|
| 113|      33|      0|    0.76|  0.67|                16|             21|             24|               2|     33|            31|         0.94|
| 114|      11|      0|    0.44|  0.44|                 4|              9|              9|               3|     11|            10|         0.91|
| 115|      23|      0|    0.57|  0.47|                 8|             14|             17|               6|     23|            21|         0.91|
| 116|      18|      0|    0.71|  0.67|                10|             14|             15|               3|     18|            17|         0.94|
| 117|      34|      0|    0.50|  0.57|                12|             24|             21|               6|     34|            31|         0.91|
| 118|      43|      0|    0.31|  0.33|                10|             32|             30|              16|     43|            42|         0.98|
| 119|      25|      0|    0.31|  0.31|                 5|             16|             16|               5|     25|            19|         0.76|
| 120|      41|      0|    0.50|  0.50|                15|             30|             30|              11|     41|            41|         1.00|
| 121|      11|      0|    0.80|  0.57|                 4|              5|              7|               1|     11|            11|         1.00|
| 122|      33|      0|    0.38|  0.39|                 9|             24|             23|               8|     33|            25|         0.76|
| 123|      35|      0|    0.29|  0.26|                 6|             21|             23|               9|     35|            32|         0.91|
| 124|      35|      0|    0.41|  0.36|                 9|             22|             25|              10|     35|            31|         0.89|
| 125|       6|      0|    0.80|  0.67|                 4|              5|              6|               0|      6|             6|         1.00|
| 126|      10|      0|    0.29|  0.25|                 2|              7|              8|               2|     10|             9|         0.90|
| 127|      34|      0|    0.46|  0.46|                11|             24|             24|               7|     34|            32|         0.94|
| 128|      37|      0|    0.28|  0.24|                 7|             25|             29|              13|     37|            34|         0.92|
| 129|      19|      0|    0.40|  0.32|                 6|             15|             19|               9|     19|            17|         0.89|
| 130|      57|      0|    0.31|  0.30|                14|             45|             46|              19|     57|            49|         0.86|
| 131|      22|      0|    1.00|  0.91|                10|             10|             11|               0|     22|            21|         0.95|
| 132|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             1|         0.50|
| 133|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
| 134|      19|      0|    0.33|  0.30|                 3|              9|             10|               4|     19|            14|         0.74|
| 135|      15|      0|    0.12|  0.07|                 1|              8|             14|               6|     15|             1|         0.07|
| 136|      17|      0|    0.12|  0.06|                 1|              8|             16|               8|     17|             2|         0.12|
| 137|      16|      0|    0.42|  0.36|                 5|             12|             14|               7|     16|            13|         0.81|
| 138|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             0|         0.00|
| 139|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             2|         1.00|
| 140|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
| 141|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             2|         1.00|
| 142|      11|      0|    0.43|  0.33|                 3|              7|              9|               1|     11|             9|         0.82|
| 143|       7|      0|    0.75|  0.60|                 3|              4|              5|               0|      7|             7|         1.00|
| 144|       5|      0|    0.67|  0.67|                 2|              3|              3|               0|      5|             5|         1.00|
| 145|       4|      0|    1.00|  1.00|                 4|              4|              4|               0|      4|             4|         1.00|
| 146|       4|      0|    1.00|  1.00|                 4|              4|              4|               0|      4|             4|         1.00|
| 147|       4|      0|    0.75|  1.00|                 3|              4|              3|               0|      4|             4|         1.00|
| 148|       5|      0|    0.83|  1.00|                 5|              6|              5|               0|      5|             5|         1.00|
| 149|      59|      0|    0.56|  0.49|                20|             36|             41|              11|     59|            58|         0.98|
| 150|      50|      0|    0.27|  0.26|                 9|             33|             34|              15|     50|            49|         0.98|
| 151|      44|      0|    0.39|  0.36|                 9|             23|             25|              10|     44|            42|         0.95|
| 152|      34|      0|    0.30|  0.30|                 8|             27|             27|              14|     34|            34|         1.00|
| 153|      31|      0|    0.30|  0.29|                 7|             23|             24|              13|     31|            30|         0.97|
| 154|      28|      0|    0.41|  0.41|                 9|             22|             22|               6|     28|            25|         0.89|
| 155|      12|      0|    0.12|  0.14|                 1|              8|              7|               3|     12|            10|         0.83|
| 156|      41|      0|    0.57|  0.50|                13|             23|             26|               6|     41|            38|         0.93|
| 157|      18|      0|    0.33|  0.23|                 3|              9|             13|               5|     18|            16|         0.89|
| 158|      49|      0|    0.03|  0.02|                 1|             32|             48|              42|     49|             9|         0.18|
| 159|       1|      0|    0.50|  0.50|                 1|              2|              2|               0|      1|             1|         1.00|
| 160|      72|      0|    0.43|  0.43|                19|             44|             44|              17|     72|            66|         0.92|
| 161|      22|      0|    0.46|  0.43|                 6|             13|             14|               5|     22|            19|         0.86|
| 162|      24|      0|    0.33|  0.32|                 6|             18|             19|               9|     24|            22|         0.92|
| 163|      10|      0|    0.57|  0.44|                 4|              7|              9|               1|     10|             9|         0.90|
| 164|      51|      0|    0.23|  0.22|                 7|             30|             32|              18|     51|            47|         0.92|
| 165|      43|      0|    0.43|  0.39|                12|             28|             31|              11|     43|            39|         0.91|
| 166|      30|      0|    0.39|  0.35|                 7|             18|             20|               9|     30|            25|         0.83|
| 167|      17|      0|    0.27|  0.25|                 3|             11|             12|               4|     17|            14|         0.82|
| 168|      37|      0|    0.43|  0.40|                10|             23|             25|              11|     37|            36|         0.97|
| 169|      40|      0|    0.60|  0.58|                15|             25|             26|               7|     40|            39|         0.97|
| 170|      35|      0|    0.26|  0.24|                 6|             23|             25|              14|     35|            32|         0.91|
| 171|      14|      0|    0.57|  0.50|                 4|              7|              8|               2|     14|            14|         1.00|
| 172|      34|      0|    0.71|  0.68|                17|             24|             25|               3|     34|            32|         0.94|
| 173|      62|      0|    0.33|  0.29|                14|             43|             49|              24|     62|            55|         0.89|
| 174|      25|      0|    0.47|  0.39|                 7|             15|             18|               4|     25|            22|         0.88|
| 175|      48|      0|    0.44|  0.44|                15|             34|             34|              13|     48|            46|         0.96|
| 176|      22|      0|    0.46|  0.38|                 6|             13|             16|               4|     22|            22|         1.00|
| 177|      10|      0|    0.50|  0.44|                 4|              8|              9|               3|     10|            10|         1.00|
| 178|      28|      0|    0.05|  0.04|                 1|             19|             27|              26|     28|             4|         0.14|
| 179|       8|      0|    0.67|  0.57|                 4|              6|              7|               1|      8|             7|         0.88|
| 180|      28|      0|    0.26|  0.23|                 6|             23|             26|              12|     28|            25|         0.89|
| 181|      20|      0|    0.42|  0.31|                 5|             12|             16|               4|     20|            17|         0.85|
| 182|      46|      0|    0.42|  0.37|                13|             31|             35|              17|     46|            44|         0.96|
| 183|       1|      0|    0.50|  1.00|                 1|              2|              1|               0|      1|             1|         1.00|
| 184|      19|      0|    0.69|  0.69|                 9|             13|             13|               2|     19|            19|         1.00|
| 185|       6|      0|    0.80|  1.00|                 4|              5|              4|               0|      6|             6|         1.00|
| 186|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
| 187|      43|      0|    0.31|  0.30|                10|             32|             33|              15|     43|            39|         0.91|
| 188|       4|      0|    0.75|  1.00|                 3|              4|              3|               0|      4|             4|         1.00|
| 189|      34|      0|    0.48|  0.55|                11|             23|             20|               6|     34|            34|         1.00|
| 190|      17|      0|    0.89|  0.80|                 8|              9|             10|               0|     17|            17|         1.00|
| 191|      23|      0|    0.59|  0.56|                10|             17|             18|               3|     23|            22|         0.96|
| 192|      17|      0|    1.00|  1.00|                11|             11|             11|               0|     17|            17|         1.00|
| 193|      17|      0|    0.36|  0.38|                 5|             14|             13|               4|     17|            16|         0.94|
| 194|      25|      0|    0.07|  0.04|                 1|             15|             24|              18|     25|             3|         0.12|
| 195|      41|      0|    0.34|  0.31|                10|             29|             32|              14|     41|            36|         0.88|
| 196|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
| 197|       8|      0|    1.00|  1.00|                 5|              5|              5|               0|      8|             7|         0.88|
| 198|      28|      0|    0.38|  0.40|                 8|             21|             20|               7|     28|            27|         0.96|
| 199|      17|      0|    0.67|  0.73|                 8|             12|             11|               2|     17|            14|         0.82|
| 200|      14|      0|    0.60|  0.67|                 6|             10|              9|               2|     14|            13|         0.93|
| 201|       9|      0|    0.80|  0.80|                 4|              5|              5|               0|      9|             8|         0.89|
| 202|       9|      0|    0.83|  0.83|                 5|              6|              6|               0|      9|             8|         0.89|
| 203|       9|      0|    0.67|  0.57|                 4|              6|              7|               1|      9|             9|         1.00|
| 204|       8|      0|    0.67|  0.50|                 4|              6|              8|               1|      8|             8|         1.00|
| 205|      53|      0|    0.47|  0.42|                17|             36|             40|              15|     53|            49|         0.92|
| 206|      35|      0|    0.16|  0.15|                 3|             19|             20|              10|     35|            34|         0.97|
| 207|       9|      0|    0.80|  0.67|                 4|              5|              6|               0|      9|             8|         0.89|
| 208|       8|      0|    0.67|  0.67|                 4|              6|              6|               0|      8|             8|         1.00|
| 209|       5|      0|    0.67|  0.67|                 2|              3|              3|               0|      5|             4|         0.80|
| 210|       5|      0|    0.67|  0.67|                 2|              3|              3|               0|      5|             5|         1.00|
| 211|       5|      0|    1.00|  1.00|                 4|              4|              4|               0|      5|             5|         1.00|
| 212|       1|      0|    1.00|  1.00|                 2|              2|              2|               0|      1|             1|         1.00|
| 213|       6|      0|    0.17|  0.25|                 1|              6|              4|               2|      6|             6|         1.00|
| 214|      47|      0|    0.36|  0.34|                12|             33|             35|              15|     47|            44|         0.94|
| 215|      20|      0|    0.20|  0.17|                 2|             10|             12|               4|     20|            17|         0.85|
| 216|      20|      0|    0.50|  0.50|                 8|             16|             16|               4|     20|            18|         0.90|
| 217|       3|      0|    0.33|  0.50|                 1|              3|              2|               0|      3|             2|         0.67|
| 218|      31|      0|    0.40|  0.36|                 8|             20|             22|               7|     31|            29|         0.94|
| 219|      53|      0|    0.42|  0.38|                15|             36|             40|              18|     53|            44|         0.83|
| 220|       9|      0|    1.00|  1.00|                 5|              5|              5|               0|      9|             9|         1.00|
| 221|      44|      0|    0.38|  0.37|                10|             26|             27|              14|     44|            39|         0.89|
| 222|      15|      0|    0.45|  0.42|                 5|             11|             12|               3|     15|            15|         1.00|
| 223|      25|      0|    0.78|  0.82|                14|             18|             17|               1|     25|            23|         0.92|
| 224|      27|      0|    0.47|  0.47|                 8|             17|             17|               6|     27|            25|         0.93|
| 225|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
| 226|      48|      0|    0.36|  0.30|                 9|             25|             30|              10|     48|            40|         0.83|
| 227|      55|      0|    0.38|  0.38|                15|             39|             39|              19|     55|            53|         0.96|
| 228|      22|      0|    0.69|  0.60|                 9|             13|             15|               2|     22|            20|         0.91|
| 229|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             0|         0.00|
| 230|       2|      0|    1.00|  1.00|                 2|              2|              2|               0|      2|             1|         0.50|
| 231|       8|      0|    0.33|  0.17|                 1|              3|              6|               3|      8|             6|         0.75|
| 232|       1|      0|    0.50|  0.50|                 1|              2|              2|               0|      1|             1|         1.00|
| 233|      25|      0|    0.17|  0.04|                 1|              6|             24|              13|     25|             0|         0.00|
| 234|       5|      0|    0.25|  0.25|                 1|              4|              4|               3|      5|             1|         0.20|
| 235|       8|      0|    0.25|  0.17|                 1|              4|              6|               0|      8|             5|         0.62|
| 236|       5|      0|    1.00|  0.50|                 2|              2|              4|               0|      5|             3|         0.60|
| 237|       8|      0|    0.20|  0.14|                 1|              5|              7|               4|      8|             1|         0.12|
| 238|      10|      0|    1.00|  0.43|                 3|              3|              7|               0|     10|             8|         0.80|
| 239|       3|      0|    1.00|  0.67|                 2|              2|              3|               0|      3|             3|         1.00|
| 240|       8|      0|    0.20|  0.14|                 1|              5|              7|               4|      8|             1|         0.12|
| 241|       8|      0|    0.33|  0.17|                 1|              3|              6|               2|      8|             2|         0.25|
| 242|       4|      0|    1.00|  1.00|                 2|              2|              2|               0|      4|             2|         0.50|
| 243|       8|      0|    0.20|  0.14|                 1|              5|              7|               4|      8|             1|         0.12|
| 244|      10|      0|    0.50|  0.12|                 1|              2|              8|               0|     10|             6|         0.60|
| 245|       2|      0|    0.50|  1.00|                 1|              2|              1|               0|      2|             1|         0.50|
| 246|       8|      0|    0.20|  0.14|                 1|              5|              7|               4|      8|             1|         0.12|
| 247|      13|      0|    0.33|  0.10|                 1|              3|             10|               1|     13|             8|         0.62|
| 248|       8|      0|    0.20|  0.14|                 1|              5|              7|               4|      8|             1|         0.12|
| 249|      19|      0|    0.20|  0.08|                 1|              5|             13|               1|     19|            12|         0.63|
| 250|       5|      0|    0.25|  0.25|                 1|              4|              4|               3|      5|             1|         0.20|
| 251|      19|      0|    0.40|  0.13|                 2|              5|             15|               3|     19|            14|         0.74|
| 252|       5|      0|    0.25|  0.25|                 1|              4|              4|               3|      5|             1|         0.20|
| 253|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             2|         1.00|
| 254|      29|      0|    0.43|  0.33|                 6|             14|             18|               5|     29|            24|         0.83|
| 255|      29|      0|    0.67|  0.53|                10|             15|             19|               2|     29|            26|         0.90|
| 256|      16|      0|    0.44|  0.36|                 4|              9|             11|               4|     16|            12|         0.75|
| 257|      16|      0|    0.50|  0.20|                 2|              4|             10|               2|     16|            12|         0.75|
| 258|      23|      0|    0.62|  0.59|                10|             16|             17|               4|     23|            21|         0.91|
| 259|      22|      0|    0.25|  0.14|                 2|              8|             14|               5|     22|            16|         0.73|
| 260|      22|      0|    0.40|  0.22|                 4|             10|             18|               6|     22|            17|         0.77|
| 261|       9|      0|    0.50|  0.43|                 3|              6|              7|               2|      9|             8|         0.89|
| 262|       4|      0|    0.75|  1.00|                 3|              4|              3|               0|      4|             4|         1.00|
| 263|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
| 264|      32|      0|    0.62|  0.67|                16|             26|             24|               4|     32|            32|         1.00|
| 265|      49|      0|    0.53|  0.51|                18|             34|             35|              10|     49|            46|         0.94|
| 266|       5|      0|    0.33|  0.50|                 1|              3|              2|               0|      5|             4|         0.80|
| 267|      26|      0|    0.40|  0.40|                 8|             20|             20|               7|     26|            23|         0.88|
| 268|      38|      0|    0.61|  0.50|                14|             23|             28|               7|     38|            34|         0.89|
| 269|      30|      0|    0.60|  0.52|                12|             20|             23|               6|     30|            29|         0.97|
| 270|      35|      0|    0.44|  0.47|                 8|             18|             17|               6|     35|            32|         0.91|
| 271|      28|      0|    0.45|  0.50|                10|             22|             20|               4|     28|            27|         0.96|
| 272|      43|      0|    0.45|  0.45|                13|             29|             29|               8|     43|            43|         1.00|
| 273|      41|      0|    0.21|  0.17|                 4|             19|             24|              12|     41|            35|         0.85|
| 274|      21|      0|    0.53|  0.50|                 8|             15|             16|               4|     21|            21|         1.00|
| 275|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             2|         0.67|
| 276|      67|      0|    0.52|  0.51|                23|             44|             45|              12|     67|            64|         0.96|
| 277|       9|      0|    0.67|  0.50|                 4|              6|              8|               2|      9|             9|         1.00|
| 278|      59|      0|    0.44|  0.44|                19|             43|             43|              14|     59|            53|         0.90|
| 279|      26|      0|    0.47|  0.43|                 9|             19|             21|               8|     26|            25|         0.96|
| 280|      17|      0|    0.77|  0.77|                10|             13|             13|               2|     17|            17|         1.00|
| 281|      26|      0|    0.59|  0.62|                10|             17|             16|               2|     26|            25|         0.96|
| 282|      10|      0|    1.00|  1.00|                 5|              5|              5|               0|     10|            10|         1.00|
| 283|      18|      0|    0.67|  0.57|                 8|             12|             14|               2|     18|            15|         0.83|
| 284|      20|      0|    0.93|  0.93|                14|             15|             15|               0|     20|            20|         1.00|
| 285|       1|      0|    0.50|  1.00|                 1|              2|              1|               0|      1|             1|         1.00|
| 286|      30|      0|    0.48|  0.43|                10|             21|             23|               8|     30|            28|         0.93|
| 287|      33|      0|    0.79|  0.65|                15|             19|             23|               2|     33|            29|         0.88|
| 288|      23|      0|    0.77|  0.71|                10|             13|             14|               2|     23|            21|         0.91|
| 289|      27|      0|    0.58|  0.55|                11|             19|             20|               5|     27|            27|         1.00|
| 290|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             0|         0.00|
| 291|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             2|         1.00|
| 292|      27|      0|    0.67|  0.62|                 8|             12|             13|               2|     27|            26|         0.96|
| 293|      19|      0|    0.90|  0.75|                 9|             10|             12|               0|     19|            18|         0.95|
| 294|      17|      0|    0.11|  0.06|                 1|              9|             16|               4|     17|             1|         0.06|
| 295|      20|      0|    0.44|  0.40|                 4|              9|             10|               2|     20|            19|         0.95|
| 296|      35|      0|    0.05|  0.03|                 1|             19|             34|              18|     35|             1|         0.03|
| 297|      27|      0|    0.08|  0.04|                 1|             13|             26|              20|     27|             0|         0.00|
| 298|      13|      0|    0.86|  0.86|                 6|              7|              7|               0|     13|            12|         0.92|
| 299|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             2|         1.00|
| 300|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             2|         0.67|
| 301|       4|      0|    0.75|  0.75|                 3|              4|              4|               0|      4|             4|         1.00|
| 302|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             2|         1.00|
| 303|       4|      0|    0.75|  0.75|                 3|              4|              4|               0|      4|             4|         1.00|
| 304|       5|      0|    1.00|  1.00|                 4|              4|              4|               0|      5|             4|         0.80|
| 305|      10|      0|    0.80|  0.80|                 4|              5|              5|               0|     10|            10|         1.00|
| 306|       6|      0|    0.80|  1.00|                 4|              5|              4|               0|      6|             6|         1.00|
| 307|       3|      0|    1.00|  1.00|                 3|              3|              3|               0|      3|             3|         1.00|
